LST,Latitude,Longitude,height,LST_Difference,height_Difference
-14.75,52.47617416192248,13.313915779499697,84.13488006591797,-24.005669749579152,-126.44745635986328
-15.149999999999977,52.47685005513292,13.313812466554682,86.08555603027344,-24.40566974957913,-124.49678039550781
-13.149999999999977,52.47623040713391,13.315097891958226,84.91877746582031,-22.40566974957913,-125.66355895996094
-13.729999999999961,52.476906778493095,13.31499396189073,86.58480834960938,-22.985669749579113,-123.99752807617188
-14.229999999999961,52.4775841559596,13.314888706303948,87.6969223022461,-23.485669749579113,-122.88541412353516
-14.46999999999997,52.47826570097598,13.3147778206315,86.43864440917969,-23.725669749579122,-124.14369201660156
-13.20999999999998,52.47894449162007,13.314670743576801,86.7939224243164,-22.46566974957913,-123.78841400146484
-14.309999999999945,52.47961945801419,13.31456892077738,89.3720474243164,-23.565669749579097,-121.21028900146484
-16.609999999999957,52.48030593403658,13.314451497368164,85.3741683959961,-25.86566974957911,-125.20816802978516
-13.529999999999973,52.48095196247634,13.314355256772224,88.36344146728516,-22.785669749579124,-122.2188949584961
-16.369999999999948,52.48160408871953,13.314250779239384,87.883544921875,-25.6256697495791,-122.69879150390625
-17.24999999999997,52.482311495060024,13.314138929971834,88.20563507080078,-26.505669749579123,-122.37670135498047
-17.369999999999976,52.482967818530874,13.31402887130159,85.38431549072266,-26.625669749579128,-125.1980209350586
-18.18999999999997,52.483656568684744,13.313908679696109,80.25253295898438,-27.44566974957912,-130.32980346679688
-21.289999999999964,52.48432584697803,13.313814894798956,86.25908660888672,-30.545669749579115,-124.32324981689453
-11.489999999999952,52.4756101382859,13.316383892247654,84.01187133789062,-20.745669749579104,-126.57046508789062
-12.229999999999961,52.47629061245649,13.316274367018647,83.27729034423828,-21.485669749579113,-127.30504608154297
-11.909999999999968,52.47696583596276,13.316172043044439,85.59803771972656,-21.16566974957912,-124.98429870605469
-13.609999999999957,52.477646104489736,13.31606289195724,85.03873443603516,-22.86566974957911,-125.5436019897461
-13.089999999999975,52.47832607975489,13.315954195580696,84.67777252197266,-22.345669749579127,-125.9045639038086
-11.769999999999982,52.478995810560185,13.315859482581722,90.23127746582031,-21.025669749579134,-120.35105895996094
-12.25,52.479677934558566,13.315747964898103,88.68985748291016,-21.505669749579152,-121.8924789428711
-13.109999999999957,52.48035635550092,13.315641532958033,89.30316162109375,-22.36566974957911,-121.2791748046875
-13.349999999999966,52.48101177441338,13.315532581845813,86.90190887451172,-22.605669749579118,-123.68042755126953
-15.009999999999991,52.481666920842606,13.31542405829115,84.68741607666016,-24.265669749579143,-125.8949203491211
-14.309999999999945,52.4823781732358,13.31530705350368,82.80575561523438,-23.565669749579097,-127.77658081054688
-17.069999999999993,52.483027827917645,13.315206078111665,83.79068756103516,-26.325669749579145,-126.7916488647461
-18.789999999999964,52.483718971873294,13.315082715214931,77.2871322631836,-28.045669749579115,-133.29519653320312
-18.549999999999983,52.48438205231155,13.314997330821935,86.82061767578125,-27.805669749579135,-123.76171875
-19.48999999999998,52.48505652670039,13.31489658734778,89.87598419189453,-28.745669749579132,-120.70635223388672
-20.409999999999968,52.48573355866492,13.314792436914235,91.49903106689453,-29.66566974957912,-119.08330535888672
-21.009999999999962,52.48643016428727,13.314661966863158,82.02388000488281,-30.265669749579114,-128.55845642089844
-21.72999999999996,52.48711257082487,13.314550698736037,80.65728759765625,-30.985669749579113,-129.925048828125
-23.72999999999996,52.48778988095108,13.314446342944558,82.21253204345703,-32.98566974957912,-128.36981201171875
-25.18999999999997,52.4884375805213,13.314348398118213,84.51560974121094,-34.445669749579125,-126.06672668457031
-26.589999999999975,52.489116604327045,13.314241832341235,85.14996337890625,-35.84566974957913,-125.432373046875
-30.369999999999976,52.48979371310208,13.314137886269853,86.8946762084961,-39.62566974957913,-123.68766021728516
-33.02999999999997,52.49047946165091,13.314022406869357,83.78331756591797,-42.28566974957913,-126.79901885986328
-32.94999999999996,52.49116299943636,13.31390995382864,81.9544448852539,-42.205669749579116,-128.62789916992188
-31.66999999999996,52.49184350378843,13.31380162030787,81.86820983886719,-40.925669749579114,-128.71412658691406
-11.20999999999998,52.47566524125688,13.317567051893802,85.18132019042969,-20.46566974957913,-125.40101623535156
-11.889999999999986,52.47634600537318,13.317457175189919,84.27024841308594,-21.145669749579138,-126.31208801269531
-11.769999999999982,52.47702457850216,13.31735032555504,84.65177917480469,-21.025669749579134,-125.93055725097656
-11.649999999999977,52.47770629031438,13.317239258898022,83.2546157836914,-20.90566974957913,-127.32772064208984
-12.449999999999989,52.478382621189546,13.317135563359031,84.9828109741211,-21.70566974957914,-125.59952545166016
-11.029999999999973,52.47905570952915,13.317036316646819,88.59872436523438,-20.285669749579124,-121.98361206054688
-11.989999999999952,52.479736315415764,13.316926910561227,87.92210388183594,-21.245669749579104,-122.66023254394531
-13.649999999999977,52.480410951620016,13.316825651912517,90.69770050048828,-22.90566974957913,-119.88463592529297
-12.869999999999948,52.48106156236373,13.316723259801659,91.04136657714844,-22.1256697495791,-119.54096984863281
-14.229999999999961,52.481721303606164,13.316608559992313,86.186279296875,-23.485669749579113,-124.39605712890625
-15.089999999999975,52.482435849909315,13.316487150773096,82.41204071044922,-24.345669749579127,-128.1702880859375
-15.46999999999997,52.48309246688469,13.316376809861898,79.41365051269531,-24.725669749579122,-131.16868591308594
-18.109999999999985,52.48378012680659,13.316258223837464,74.89456939697266,-27.365669749579137,-135.68777465820312
-17.20999999999998,52.48444683498203,13.316167964848386,82.3539047241211,-26.46566974957913,-128.22842407226562
-19.029999999999973,52.48511920528952,13.316070099771416,86.60330963134766,-28.285669749579124,-123.9790267944336
-20.789999999999964,52.48580026420061,13.31596057339651,85.93083190917969,-30.045669749579115,-124.65150451660156
-18.369999999999976,52.48648566284461,13.3158452653502,82.82227325439453,-27.625669749579128,-127.76006317138672
-19.529999999999973,52.487167930763306,13.315734230898267,81.52567291259766,-28.785669749579124,-129.05667114257812
-22.649999999999977,52.487847290734734,13.315627160063977,81.90937042236328,-31.90566974957913,-128.6729736328125
-22.98999999999998,52.48850170783001,13.315520237306133,80.39875793457031,-32.245669749579136,-130.18357849121094
-24.92999999999998,52.48918234409318,13.315411560522449,80.11637878417969,-34.185669749579134,-130.46595764160156
-27.289999999999964,52.48986507107706,13.315300137564316,78.68089294433594,-36.54566974957912,-131.9014434814453
-29.389999999999986,52.490537724412874,13.31520225656496,82.96763610839844,-38.64566974957914,-127.61470031738281
-37.52999999999997,52.49121198470836,13.315102262843833,86.36766052246094,-46.78566974957913,-124.21467590332031
-29.109999999999985,52.491888682965104,13.314999051377766,88.4150619506836,-38.36566974957914,-122.16727447509766
-32.40999999999997,52.49258182491645,13.314873931725279,81.22490692138672,-41.66566974957912,-129.357421875
-29.46999999999997,52.49326064252861,13.314768001870894,82.13790893554688,-38.725669749579126,-128.44442749023438
-26.24999999999997,52.493919371382,13.314655748455877,78.43203735351562,-35.50566974957913,-132.15029907226562
-23.909999999999968,52.494601290609424,13.31454580678703,77.66011810302734,-33.16566974957912,-132.92221069335938
-24.069999999999965,52.49528189202841,13.314437662682504,77.65760040283203,-33.32566974957912,-132.92474365234375
-22.509999999999962,52.495934533780705,13.314333683892675,77.4598159790039,-31.765669749579114,-133.12252807617188
-24.149999999999977,52.49661229801424,13.314229413774477,79.10237121582031,-33.40566974957913,-131.47996520996094
-23.42999999999998,52.49729268199239,13.314121713139862,79.30464172363281,-32.685669749579134,-131.27769470214844
-23.44999999999996,52.497967462832406,13.314021496347301,82.66691589355469,-32.705669749579116,-127.91542053222656
-22.96999999999997,52.4986503821932,13.313910534733305,81.50677490234375,-32.225669749579126,-129.0755615234375
-23.369999999999976,52.49930576835073,13.313803169721231,79.91098022460938,-32.62566974957913,-130.67135620117188
-10.909999999999968,52.47571621460308,13.31875558816326,88.59282684326172,-20.16566974957912,-121.98950958251953
-10.649999999999977,52.47640054969323,13.318640892714384,85.61102294921875,-19.90566974957913,-124.9713134765625
-10.70999999999998,52.47707967160127,13.318533336715735,85.66686248779297,-19.96566974957913,-124.91547393798828
-12.629999999999995,52.47775630646818,13.31842921159986,87.1824951171875,-21.885669749579147,-123.39984130859375
